Topic,Count,Name
-1,13601,-1_of_the_to_and
0,3108,0_speech_asr_recognition_speaker
1,918,1_image_visual_captioning_multimodal
2,835,2_parsing_parser_dependency_grammar
3,814,3_summarization_summaries_summary_abstractive
4,807,4_hate_offensive_detection_social
5,534,5_clinical_medical_notes_patient
6,488,6_word_embeddings_embedding_similarity
7,466,7_gender_bias_biases_fairness
8,450,8_agent_instructions_agents_navigation
9,439,9_relation_extraction_re_relations
10,368,10_fewshot_prompt_prompts_augmentation
11,332,11_ner_named_entity_nested
12,322,12_qa_question_answering_answer
13,313,13_topic_topics_lda_latent
14,286,14_crosslingual_multilingual_languages_transfer
15,280,15_graph_knowledge_graphs_link
16,249,16_aspect_sentiment_absa_aspectbased
17,237,17_mt_translation_qe_translations
18,235,18_code_programming_software_program
19,232,19_mrc_comprehension_reading_answer
20,230,20_adversarial_attacks_attack_robustness
21,229,21_explanations_explanation_rationales_interpretability
22,224,22_law_zipfs_frequency_words
23,211,23_fake_news_detection_articles
24,209,24_biomedical_protein_medical_knowledge
25,209,25_legal_court_law_case
26,204,26_nmt_translation_machine_attention
27,201,27_commonsense_reasoning_knowledge_winograd
28,193,28_responses_response_dialogue_conversation
29,192,29_translation_nmt_multilingual_bleu
30,190,30_citation_scientific_papers_citations
31,171,31_retrieval_ranking_query_dense
32,171,32_privacy_private_differential_federated
33,168,33_transformer_selfattention_attention_transformers
34,163,34_generation_text_decoding_generated
35,160,35_nli_inference_biases_premise
36,156,36_nmt_translation_machine_backtranslation
37,149,37_political_misinformation_news_media
38,148,38_video_videos_captioning_temporal
39,147,39_pos_tagging_tagger_taggers
40,147,40_vqa_visual_question_answering
41,146,41_forgetting_continual_lifelong_probing
42,144,42_story_stories_narrative_plot
43,139,43_sense_wsd_disambiguation_senses
44,137,44_bilingual_crosslingual_embeddings_bli
45,137,45_dst_tracking_dialogue_state
46,135,46_depression_mental_suicide_health
47,131,47_sql_texttosql_database_schema
48,130,48_claim_factchecking_evidence_claims
49,127,49_style_transfer_formality_content
50,126,50_simplification_readability_ts_assessment
51,126,51_discourse_rst_parsing_implicit
52,124,52_keyphrase_keyphrases_extraction_document
53,121,53_financial_stock_market_price
54,119,54_event_extraction_events_argument
55,117,55_argument_argumentation_argumentative_arguments
56,115,56_emotion_emotions_intensity_emotional
57,112,57_linking_entity_el_mentions
58,110,58_srl_role_labeling_semantic
59,109,59_dialog_visual_multimodal_avsd
60,106,60_coreference_resolution_mention_mentions
61,100,61_nlg_metrics_evaluation_generation
62,99,62_paraphrase_paraphrases_paraphrasing_generation
63,98,63_sarcasm_sarcastic_irony_detection
64,96,64_empathetic_empathy_emotion_emotional
65,96,65_emotion_ser_recognition_speech
66,95,66_change_diachronic_semantic_time
67,93,67_distillation_teacher_student_kd
68,91,68_music_lyrics_musical_song
69,91,69_reasoning_llms_prompting_cot
70,89,70_sign_deaf_asl_fingerspelling
71,88,71_latent_variational_vae_posterior
72,87,72_covid19_vaccine_vaccines_tweets
73,86,73_amr_parsing_meaning_parser
74,86,74_recurrent_rnn_rnns_lstm
75,85,75_ontology_taxonomy_ontologies_taxonomies
76,85,76_gec_correction_grammatical_error
77,84,77_label_labels_classification_multilabel
78,84,78_questions_question_generation_answer
79,81,79_sentiment_persian_analysis_classification
80,81,80_clustering_cluster_news_events
81,80,81_active_al_stopping_learning
82,80,82_wikipedia_editors_articles_wikidata
83,80,83_quantum_circuit_circuits_computing
84,79,84_stance_detection_targets_tweets
85,78,85_poetry_poems_poem_chinese
86,78,86_compositional_generalization_scan_generalize
87,78,87_product_ecommerce_attribute_ad
88,78,88_summarization_dialogue_meeting_summaries
89,77,89_intent_intents_utterances_detection
90,76,90_translation_machine_smt_rbmt
91,75,91_dialogue_tod_dialog_taskoriented
92,75,92_humor_pun_humorous_puns
93,74,93_transformer_pruning_moe_sparse
94,74,94_math_mathematical_mwp_mwps
95,74,95_morphological_inflection_morphology_languages
96,74,96_crisis_disaster_tweets_disasters
97,73,97_arabic_plagiarism_dialect_dialects
98,72,98_dialogue_evaluation_conversational_dialog
99,69,99_gans_gan_discriminator_adversarial
100,68,100_persona_personalized_responses_personas
101,67,101_mmt_multimodal_translation_visual
102,66,102_domain_nmt_adaptation_indomain
103,66,103_annotation_capsule_classification_routing
104,65,104_automata_automaton_finitestate_finite
105,65,105_emotion_erc_emotions_conversation
106,64,106_dementia_ad_alzheimers_disease
107,63,107_authorship_author_av_attribution
108,63,108_alignment_ea_kgs_entity
109,60,109_codeswitching_cs_codeswitched_multilingual
110,59,110_pruning_bert_compression_glue
111,59,111_sentiment_opinion_reviews_mining
112,59,112_metaphor_metaphors_simile_metaphorical
113,58,113_emoji_emojis_emoticons_sentiment
114,58,114_hebrew_morphological_kurdish_analyzer
115,57,115_causal_causality_relations_treatment
116,57,116_sense_senses_word_polysemous
117,57,117_dialogue_dialog_response_opendomain
118,57,118_requirements_logic_business_asp
119,56,119_masking_pretraining_bert_finetuning
120,56,120_graph_gnn_gnns_node
121,56,121_nat_nonautoregressive_autoregressive_translation
122,55,122_kbqa_questions_question_answering
123,55,123_layout_document_documents_images
124,55,124_pretraining_tasks_bert_multitask
125,54,125_medical_questions_question_qa
126,53,126_sentence_embeddings_similarity_embedding
127,53,127_policy_dialogue_reinforcement_dialog
128,52,128_slang_social_tweets_twitter
129,51,129_backdoor_attacks_attack_triggers
130,51,130_speaker_attacks_anonymization_attack
131,51,131_brain_fmri_agreement_stimuli
132,50,132_contrastive_sentence_embeddings_simcse
133,50,133_emergent_agents_communication_emergence
134,50,134_codemixed_sentiment_codemixing_analysis
135,50,135_medical_reports_radiology_report
136,49,136_cws_segmentation_chinese_segmenter
137,48,137_disfluency_prosodic_phonological_disfluencies
138,48,138_finetuning_parameterefficient_parameters_tuning
139,48,139_crossings_dependency_minimization_order
140,47,140_mdtc_cnn_domain_classification
141,47,141_codeswitching_cs_codeswitched_asr
142,46,142_personality_traits_mbti_app
143,46,143_recurrent_networks_memory_lstm
144,46,144_coherence_ordering_discourse_sentences
145,46,145_multimodal_sentiment_fusion_modalities
146,45,146_gaze_eyetracking_eye_reading
147,44,147_patent_patents_claim_claims
148,44,148_recommendation_news_recommender_items
149,44,149_rumor_rumors_rumour_rumours
150,42,150_authorship_attribution_literary_authors
151,41,151_slot_intent_filling_joint
152,40,152_reviews_summaries_summarization_opinion
153,39,153_reviews_review_item_user
154,39,154_alexa_prize_conversational_competition
155,39,155_relations_prerequisite_triples_relation
156,38,156_parsing_semantic_meaning_logical
157,38,157_arabic_sentiment_analysis_tweets
158,37,158_hypernymy_distributional_hypernym_patternbased
159,37,159_cybersecurity_security_threat_cyber
160,37,160_act_dialog_da_dialogue
161,37,161_peer_review_safety_isk
162,36,162_responses_dialogue_contradiction_response
163,36,163_event_events_script_temporal
164,36,164_multihop_reasoning_answer_explanations
165,36,165_table_tabletotext_tables_generation
166,35,166_preposition_shi_prepositions_attachment
167,34,167_recipe_recipes_cooking_food
168,34,168_multihop_reasoning_qa_answer
169,34,169_essay_aes_scoring_essays
170,34,170_phylogenetic_indoeuropean_cognates_family
171,34,171_handwritten_handwriting_characters_ocr
172,34,172_relatedness_distance_semantic_similarity
173,33,173_social_email_communication_assortative
174,33,174_african_languages_bilingual_dictionaries
175,33,175_centering_discourse_binomials_pronouns
176,33,176_reviews_spam_review_fake
177,33,177_domain_sentiment_domains_adaptation
178,33,178_video_videos_tvqa_question
179,33,179_chinese_characters_glyph_character
180,32,180_ocr_optical_errors_character
181,32,181_documentlevel_context_translation_nmt
182,32,182_biomedical_relation_extraction_re
183,31,183_sparql_query_queries_path
184,31,184_propaganda_tc_si_subtask
185,31,185_acronym_acronyms_abbreviations_abbreviation
186,30,186_reviews_app_rating_review
187,30,187_matching_temporal_ditto_nlidbs
188,30,188_climate_policy_citizens_crowdworkers
189,29,189_chatbot_chatbots_conversation_responses
190,29,190_job_skill_skills_titles
191,29,191_reviews_opinion_customer_mining
192,29,192_localisation_spoken_keyword_images
193,29,193_revision_revisions_writing_editing
194,28,194_spam_email_emails_phishing
195,28,195_languages_multilingual_danish_nlp
196,28,196_noun_compound_brown_lexical
197,28,197_idiomatic_idioms_idiom_expressions
198,27,198_entity_typing_type_mention
199,26,199_drug_mining_health_disease
200,26,200_medical_dialogue_remedi_diagnosis
201,25,201_adversarial_dadc_robustness_aflite
202,25,202_crs_recommendation_recommender_item
203,25,203_conversational_search_cis_convsearch
204,25,204_modalities_multimodal_emotion_fusion
205,25,205_storytelling_story_images_visual
206,24,206_recursive_logographs_priming_treelstm
207,24,207_anomaly_anomalies_log_novelty
208,24,208_retrieval_dense_retriever_passage
209,24,209_ape_postediting_preediting_mt
210,23,210_csc_spelling_chinese_correction
211,23,211_coreference_event_cdcr_crossdocument
212,23,212_arabic_clir_arabert_arlue
213,23,213_leaderboards_prompt_tuning_nlp
214,22,214_location_movement_geographic_dialect
215,22,215_normalization_itn_spelling_text
216,22,216_location_geolocation_tweet_twitter
217,22,217_psychotherapy_counseling_therapy_alliance
218,22,218_clickbait_clickbaits_headlines_click
219,21,219_dialogue_taskoriented_dialog_conversations
220,21,220_graphtext_graph_t2g_g2t
221,21,221_narrative_literary_characters_networks
222,21,222_stemming_stemmer_root_arabic
223,21,223_parallel_bilingual_pairs_corpora
224,21,224_color_colour_colors_ib
225,21,225_process_business_event_logs
226,20,226_arguments_argument_persuasiveness_persuasion
227,20,227_indonesian_nusacrowd_subwordinformed_subword
228,20,228_question_answering_table_qa
229,20,229_communication_agents_communicate_multiagent
230,20,230_node_nodes_embedding_network
231,20,231_pretraining_nsp_bert_finetuning
232,20,232_moral_ethical_ethics_delphi
233,19,233_translation_noise_nmt_robustness
234,19,234_diacritics_restoration_diacritic_diacritization
235,19,235_3d_spatial_objects_object
236,19,236_temporal_timeml_events_annotation
237,19,237_protest_quotation_event_quotations
238,19,238_mlm_pretraining_ccm_tptlms
239,18,239_orientation_sentiment_polarity_unisent
240,18,240_sports_commentaries_soccer_esports
241,18,241_hindi_lowresource_languages_pos
242,18,242_grading_student_students_asag
243,18,243_spelling_correction_misspellings_errors
244,18,244_nounmodifier_similarity_analogy_ic
245,17,245_spoiler_reviews_review_spoilers
246,17,246_knnmt_datastore_bandit_translation
247,17,247_naming_communicating_game_evolutionary
248,17,248_video_summarization_multimodal_summary
249,17,249_question_answer_questions_answers
250,17,250_beam_nmt_search_translation
251,17,251_morphological_century_nooj_turkish
252,17,252_sh_kgs_skyset_colake
253,17,253_anaphora_resolution_pronouns_anaphoric
254,17,254_population_coexistence_speakers_change
255,16,255_acceptability_uid_energybased_alternations
256,16,256_bert_gabert_barthez_korealbert
257,16,257_hallucinations_hallucination_nmt_exposure
258,16,258_rnns_stack_rnn_recurrent
259,16,259_ecpe_emotion_emotioncause_cause
260,16,260_li_bnlp_basque_tagging
261,16,261_dialogue_discriminator_feedback_customer
262,16,262_hashtag_hashtags_tweets_lithium
263,15,263_reasoning_logicsolver_quarel_mlns
264,15,264_dialogue_thingtalk_dialog2api_toot
265,15,265_weak_labels_weakly_noisy
266,15,266_qg_watson_sqa_qa
267,15,267_questions_qg_educational_dolphin
268,15,268_audio_aac_captioning_captions
269,15,269_podcast_podcasts_summary_summarization
270,15,270_steganography_secret_steganographic_payload
271,15,271_dialogue_ood_dialog_user
272,15,272_dialogue_responses_response_negative
273,15,273_emotion_couples_emotions_partners
274,15,274_literature_mesh_dsss_covid19
275,15,275_olac_archives_biclusters_resources
276,14,276_qads_synonyms_synsets_sense
277,14,277_graph_grat_graphtosequence_node
278,14,278_conversational_cqa_decision_qa
279,14,279_matching_multiturn_response_conversation
280,14,280_ner_myanmar_named_hindi
281,14,281_vqa_visual_covr_fi
282,14,282_painting_image_images_gan
283,14,283_product_answer_ecommerce_products
284,14,284_political_lifestyle_elections_politics
285,14,285_responses_cg_faithdial_dialogue
286,14,286_dml_decoding_sequence_lefttoright
287,13,287_visual_symbolic_reasoning_grounding
288,13,288_multitask_sentence_tasks_encoders
289,13,289_belief_informationsharing_subdialogues_beliefs
290,13,290_glottal_zzt_cepstrum_decomposition
291,13,291_team_conversational_sb_nora
292,13,292_clinical_summarization_summaries_summarisation
293,13,293_hash_hashing_codes_bits
294,13,294_rigoberta_udify_maria_lowresource
295,12,295_reports_radiology_birads_imaging
296,12,296_distributional_negation_transitive_compositional
297,12,297_causality_verbs_presuppositions_artree
298,12,298_scaling_curriculum_forgetting_ushaped
299,12,299_distractors_distractor_mcqs_mcq
300,12,300_meme_memes_regret_memotion
301,12,301_ezhil_ajami_transliteration_vowels
302,12,302_morphological_sami_south_sacti
303,12,303_eos_hyperbolic_rnns_srnns
304,12,304_tar_chinese_tourbert_fengshenbang
305,12,305_texttoimage_prompt_image_editing
306,12,306_raml_reward_rl_qdistribution
307,12,307_quantization_meanmax_rela_bifsmnv2
308,12,308_ood_intents_intent_outliers
309,12,309_ood_simulators_gentus_dialog
310,11,310_logical_graph_reasoning_kg
311,11,311_memorized_editing_brainbased_intermediate
312,11,312_rule_sense_definition_word
313,11,313_youth_sustainable_covid19_pandemic
314,11,314_lao_estbert_multilingual_estonian
315,11,315_stance_credibility_stances_divisive
316,11,316_parallel_lesan_romanurdu_translation
317,11,317_dialogue_concet_dfm_dialog
318,11,318_numbers_numerical_luna_reasoning
319,11,319_retrieval_dense_passage_rocketqa
320,11,320_influencers_moral_comments_retweeting
321,11,321_sentiment_twitter_opinion_aaelike
322,10,322_malay_microplanning_programming_communicative
323,10,323_reasoning_numerical_cpk_financial
324,10,324_er_subpopulations_ertest_rationales
325,10,325_axonn_fastmoe_funneltransformer_apes
326,10,326_event_fewshot_trigger_types
327,10,327_eisl_editing_edit_hct
328,10,328_covid19_wnut2020_tweets_pandemic
329,10,329_kp_csa_erniedoc_guhat
330,10,330_chunking_syllabification_litemul_mira
331,10,331_vietnamese_ner_tieq_viet
332,10,332_translation_turkic_erzya_parallel
